run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
2,depth_k,ex6_2_14.bch,-0.695358,4896,2.22635,NA,NA,1
3,depth_k,ex6_2_14.bch,-0.695358,4896,2.41294,NA,NA,1
4,depth_k,ex6_2_14.bch,-0.695358,4896,2.4357,NA,NA,1
5,depth_k,ex6_2_14.bch,-0.695358,4896,2.23194,NA,NA,1
6,depth_k,ex6_2_14.bch,-0.695358,4896,2.48396,NA,NA,1
7,depth_k,ex6_2_14.bch,-0.695358,4896,2.48619,NA,NA,1
9,depth_k,ex6_2_12.bch,0.289195,29266,12.7996,NA,NA,1
8,depth_k,ex6_2_14.bch,-0.695358,4896,2.48764,NA,NA,1
9,depth_k,ex6_2_14.bch,-0.695358,4896,2.48978,NA,NA,1
2,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1603.94,NA,NA,1
4,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1613.99,NA,NA,1
0,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1639.82,NA,NA,1
8,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1646.36,NA,NA,1
1,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1657.01,NA,NA,1
7,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1659.43,NA,NA,1
5,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1719.58,NA,NA,1
